Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
5232005,Jackson Community College,US,Edu,Uni,Hack,SSN,,Outside,No,,8000,httpattritionorgdataloss200505jcc01html,DL0070,,No,Unknown,Unknown,Unknown
5232005,Bank of America  Wachovia,US,Biz,Fin,Fraud  SE,ACC,,Inside  Malicious,No,,676000,httpattritionorgdataloss200505boa02html,DL0071,,BAC,Unknown,Unknown,Unknown
5232005,MCI,US,Biz,Tech,Stolen Laptop,SSN,NAA,Outside,No,,16500,httpattritionorgdataloss200505mci01html,DL0072,,MCI,Unknown,Unknown,Unknown
5252005,Purdue University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,11360,httpattritionorgdataloss200505purdue01html,DL0073,,No,Unknown,Unknown,Unknown
5272005,Stanford University,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,9600,httpattritionorgdataloss200505stanford01html,DL0074,,No,Unknown,Unknown,Unknown
5282005,Merlin Information Services,US,Biz,Data,Fraud  SE,CCN,,Outside,No,,5875,,DL0377,,No,Unknown,Unknown,Unknown
5312005,California Dept Health Services,US,Gov,Med,Stolen Laptop,SSN,MED,Outside,No,,21600,httpattritionorgdataloss200505cdhs01html,DL0075,,No,Unknown,Unknown,Unknown
612005,US Dept Of Justice,US,Gov,Fed,Stolen Laptop,MISC,,Outside,Yes,Omega World Travel,80000,httpattritionorgdataloss200506owt01html,DL0076,,No,Unknown,Unknown,Unknown
642005,Duke University Medical Center,US,Edu,Med,Hack,SSN,,Outside,No,,14000,httpattritionorgdataloss200506duke01html,DL0077,,No,Unknown,Unknown,Unknown
642005,Cleveland State University,US,Edu,Uni,Stolen Laptop,SSN,NAA,Outside,No,,44000,httpattritionorgdataloss200506csu01html,DL0078,,No,Unknown,Unknown,Unknown
662005,Citigroup,US,Biz,Fin,Lost Tapes,SSN,ACC,Outside,Yes,UPS,3900000,httpattritionorgdataloss200506citigroup01html,DL0079,,C,No,No,No
6132005,Motorola,US,Biz,Tech,Stolen Computer,SSN,NAA,Outside,Yes,Affiliated Computer Services,,httpattritionorgdataloss200506motorola01html,DL0080,,MOT,Unknown,Unknown,Unknown
6172005,Equifax Canada Inc,CA,Biz,Fin,Hack,NAA,ACC,Outside,No,,605,httpattritionorgdataloss200506equifax01html,DL0081,,No,Unknown,Unknown,Unknown
6172005,Federal Deposit Insurance Corp,US,Gov,Fed,Hack,SSN,NAA,Outside,No,,6000,httpattritionorgdataloss200506fdic01html,DL0082,,No,Unknown,Unknown,Unknown
6172005,University of Hawaii,US,Edu,Uni,Fraud  SE,SSN,NAA,Inside  Malicious,No,,150000,httpattritionorgdataloss200506hawaii01html,DL0083,,No,Unknown,Unknown,Unknown
6192005,Visa MasterCard American Express,US,Biz,Fin,Hack,CCN,,Outside,Yes,CardSystems,40000000,httpattritionorgdataloss200506cardsystems01html,DL0084,,MA AXP,Unknown,Unknown,Unknown
6212005,CVS Corp,US,Biz,Retail,Web,ACC,,Inside  Accidental,No,,,httpattritionorgdataloss200506cvs01html,DL0085,,CVSDBV,Unknown,Unknown,Unknown
6222005,Eastman Kodak Co,US,Biz,Retail,Stolen Laptop,SSN,NAA,Outside,Yes,Hewitt Associates,5800,httpattritionorgdataloss200506kodak01html,DL0086,,EK,Unknown,Unknown,Unknown
6232005,Kent State University,US,Edu,Uni,Stolen Laptop,NAA,,Outside,No,,1400,httpattritionorgdataloss200506kent01html,DL0087,,No,Unknown,Unknown,Unknown
6282005,University of Connecticut,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,72000,httpattritionorgdataloss200506uconn01html,DL0088,,No,Unknown,Unknown,Unknown
6292005,Medica Health Plans,US,Med,Ins,Fraud  SE DISPUTED,MISC,,Inside  Malicious,No,,1200000,httpattritionorgdataloss200506medica01html,DL0089,,No,Unknown,Unknown,Unknown
6302005,DSW Shoes,US,Biz,Retail,Hack,CCN,,Outside,No,,1496000,httpattritionorgdataloss200506dsw01html,DL0090,,No,Unknown,Unknown,Unknown
6302005,India Call Center,IN,Biz,Tech,Fraud  SE,ACC,CCN,Inside  Malicious,Yes,Infinity eSearch,1000,httpattritionorgdataloss200506india01html,DL0091,,No,Unknown,Unknown,Unknown
6302005,Bank of America,US,Biz,Fin,Stolen Laptop,SSN,NAA,Outside,No,,18000,httpattritionorgdataloss200506boa02html,DL0378,,BAC,Unknown,Unknown,Unknown
712005,University of San Diego,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,3300,httpattritionorgdataloss200507ucsd01html,DL0397,,No,Unknown,Unknown,Unknown
762005,Ohio State Univ Medical Center,US,Edu,Med,Stolen Laptop,MISC,,Outside,Yes,MTE Consulting,15000,httpattritionorgdataloss200507osmc01html,DL0092,,No,Unknown,Unknown,Unknown
762005,Time Warner Inc,US,Biz,Media,Stolen Tapes,SSN,NAA,Outside,Yes,Iron Mountain,600000,httpattritionorgdataloss200507ironmountain01html,DL0093,,TWX,Unknown,Unknown,Unknown
772005,Michigan State University,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,27000,httpattritionorgdataloss200507msu02html,DL0094,,No,Unknown,Unknown,Unknown
782005,City National Bank,US,Biz,Fin,Lost Tapes,SSN,ACC,Outside,Yes,Iron Mountain,,httpattritionorgdataloss200507cnb01html,DL0400,,No,Unknown,Unknown,Unknown
792005,University of Southern Cailfornia,US,Edu,Uni,Web,SSN,NAA,Outside,No,,270000,httpattritionorgdataloss200507usc01html,DL0095,,No,No,No,Yes
7132005,Arizona Biodyne,US,Med,Ins,Stolen Tapes,SSN,NAA,Outside,No,,57000,httpattritionorgdataloss200507bcbs01html,DL0096,,No,Unknown,Unknown,Unknown
7202005,Iowa State University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,4410,httpattritionorgdataloss200507isu01html,DL0097,,No,Unknown,Unknown,Unknown
7212005,University of Colorado at Boulder,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,42000,httpattritionorgdataloss200507cub04html,DL0673,,No,Unknown,Unknown,Unknown
7252005,St Johns Regional Med Ctr,US,Med,Hos,Stolen Computer,NAA,MED,Outside,Yes,KC  Associates,27000,httpattritionorgdataloss200507stjohn01html,DL0098,,No,Unknown,Unknown,Unknown
7282005,California State University Dominguez Hills,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,9614,httpattritionorgdataloss200507csdh01html,DL0379,,No,Unknown,Unknown,Unknown
7292005,San Diego Co Emp Ret Assoc,US,Gov,County,Hack,SSN,NAA,Outside,No,,32000,httpattritionorgdataloss200507sdera01html,DL0099,,No,Unknown,Unknown,Unknown
7302005,Austin Peay State University,US,Edu,Uni,Web,SSN,,Inside  Accidental,No,,2772,httpattritionorgdataloss200507AusPeay01html,DL0398,,No,Unknown,Unknown,Unknown
832005,University of Colorado,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,36000,httpattritionorgdataloss200508cu01html,DL0100,,No,Unknown,Unknown,Unknown
842005,Cal Poly Pomona,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,31077,httpattritionorgdataloss200508cpp01html,DL0101,,No,Unknown,Unknown,Unknown
842005,Anderson College,US,Edu,Uni,Disposal  Documents,SSN,,Inside  Accidental,No,,800,httpattritionorgdataloss200508and01html,DL0399,,No,Unknown,Unknown,Unknown
852005,Madison Area Technical College,US,Edu,Uni,Disposal  Documents,SSN,DOB,Inside  Accidental,No,,100,httpattritionorgdataloss200508matc01html,DL0395,,No,Unknown,Unknown,Unknown
892005,University of North Texas,US,Edu,Uni,Hack,CCN,,Outside,No,,38607,httpattritionorgdataloss200508unt01html,DL0102,,No,Unknown,Unknown,Unknown
892005,Sonoma State University,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,61709,httpattritionorgdataloss200508ssu01html,DL0103,,No,Unknown,Unknown,Unknown
892005,Federal Reserve Bank,US,Gov,Fed,Lost Documents,SSN,NAA,Inside  Accidental,No,,,httpattritionorgdataloss200508FedRes01html,DL0401,,No,Unknown,Unknown,Unknown
8102005,University of Utah,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,100000,httpattritionorgdataloss200508uu01html,DL0380,,No,Unknown,Unknown,Unknown
8122005,Verizon Wireless,US,Biz,Tech,Web,ACC,,Inside  Accidental,No,,,httpattritionorgdataloss200508verizon01html,DL0104,,VZ,Unknown,Unknown,Unknown
8152005,California State University Stanislaus,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,877,httpattritionorgdataloss200508CSUStanislaus01html,DL0402,,No,Unknown,Unknown,Unknown
8192005,University of Colorado,US,Edu,Uni,Web,SSN,NAA,Inside  Accidental,No,,49000,httpattritionorgdataloss200508cu02html,DL0105,,No,Unknown,Unknown,Unknown
8192005,United States Air Force,US,Gov,Fed,Hack,SSN,NAA,Outside,No,,33000,httpattritionorgdataloss200508usaf01html,DL0106,,No,Unknown,Unknown,Unknown
8272005,University of Florida,US,Edu,Med,Stolen Laptop,SSN,NAA,Outside,Yes,ChartOne,3851,httpattritionorgdataloss200508chartone01html,DL0107,,No,Unknown,Unknown,Unknown
8302005,California State University,US,Edu,Uni,Virus,SSN,NAA,Outside,No,,154,httpattritionorgdataloss200508csu03html,DL0108,,No,Unknown,Unknown,Unknown
8302005,JPMorgan Chase,US,Biz,Fin,Stolen Laptop,NAA,ACC,Outside,No,,,httpattritionorgdataloss200508jpmorgan01html,DL0109,,JPM,Unknown,Unknown,Unknown
8302005,Stark State College of Technology,US,Edu,Uni,Web,SSN,NAA,Inside  Accidental,No,,7058,httpattritionorgdataloss200508stark01html,DL0403,,No,Unknown,Unknown,Unknown
922005,Iowa Student Loan,US,Biz,Fin,Lost Media,SSN,NAA,Outside,No,,165000,httpattritionorgdataloss200509isl01html,DL0110,,No,Unknown,Unknown,Unknown
9102005,Kent State University,US,Edu,Uni,Stolen Computers,SSN,NAA,Outside,No,,100000,httpattritionorgdataloss200509kent02html,DL0111,,No,Unknown,Unknown,Unknown
9132005,Fort Carson,US,Gov,Fed,Stolen Computers,SSN,NAA,Outside,No,,9300,httpattritionorgdataloss200509ftcarson01html,DL0112,,No,Unknown,Unknown,Unknown
9162005,Miami Ohio University,US,Edu,Uni,Web,SSN,,Inside  Accidental,No,,21762,httpattritionorgdataloss200509miami01html,DL0113,,No,Unknown,Unknown,Unknown
9172005,North Fork Bank,US,Biz,Fin,Stolen Laptop,ACC,,Outside,No,,9000,httpattritionorgdataloss200509nfb01html,DL0114,,No,Unknown,Unknown,Unknown
9192005,Childrens Health Council,US,Med,NFP,Stolen Tapes,SSN,MED,Outside,No,,6700,httpattritionorgdataloss200509chc01html,DL0115,,No,Unknown,Unknown,Unknown
9222005,Internal Revenue Service,US,Gov,Fed,Lost Documents,SSN,NAA,Outside,No,,30000,httpattritionorgdataloss200509irs01html,DL0381,,No,Unknown,Unknown,Unknown
9282005,City University of New York,US,Edu,Uni,Web,SSN,,Inside  Accidental,No,,771,httpattritionorgdataloss200509cuny01html,DL0116,,No,Unknown,Unknown,Unknown
9282005,RBC Dain Rauscher,US,Biz,Fin,Fraud  SE,ACC,NAA,Inside  Malicious,No,,300000,httpattritionorgdataloss200509dain01html,DL0117,,No,Unknown,Unknown,Unknown
9292005,University of Georgia,US,Edu,Uni,Hack,SSN,,Outside,No,,1600,httpattritionorgdataloss200509uga01html,DL0118,,No,Unknown,Unknown,Unknown
1072005,Bank of America,US,Biz,Fin,Stolen Laptop,ACC,NAA,Outside,No,,,httpattritionorgdataloss200510boa03html,DL0119,,BAC,Unknown,Unknown,Unknown
1082005,Blockbuster,US,Biz,Retail,Disposal  Documents,SSN,CCN,Inside  Accidental,No,,,httpattritionorgdataloss200510bb01html,DL0382,,BBI,Unknown,Unknown,Unknown
10152005,Montclair State University,US,Edu,Uni,Web,SSN,NAA,Inside  Accidental,No,,9100,httpattritionorgdataloss200510montclair01html,DL0120,,No,Unknown,Unknown,Unknown
10202005,Monmouth University,US,Edu,Uni,Web,SSN,NAA,Inside  Accidental,No,,677,httpattritionorgdataloss200510monmouth01html,DL0121,,No,Unknown,Unknown,Unknown
